locale,id,path,target
"es","gid://shopify/UrlRedirect/490951999740","/es/products/halter-mini-dress","/es/collections/all"
"es","gid://shopify/UrlRedirect/490952163580","/es/products/kaden-denim-shorts","/es/collections/all"
"es","gid://shopify/UrlRedirect/490952229116","/es/products/thank-you-pants-set","/es/collections/all"
"es","gid://shopify/UrlRedirect/490952294652","/es/products/l-a-shirt","/es/collections/all"
"es","gid://shopify/UrlRedirect/490952491260","/es/products/owen-denim-shorts-1","/es/collections/all"
"es","gid://shopify/UrlRedirect/490952556796","/es/products/wilder-jeans","/es/collections/all"
"es","gid://shopify/UrlRedirect/490952917244","/es/products/t-shirt-y","/es/collections/all"
"es","gid://shopify/UrlRedirect/490952950012","/es/products/heels-b","/es/collections/all"
"es","gid://shopify/UrlRedirect/490953113852","/es/products/lily-jacket-set","/es/collections/all"
"es","gid://shopify/UrlRedirect/490953572604","/es/products/freya-pants-set","/es/collections/all"
"es","gid://shopify/UrlRedirect/490953605372","/es/products/more-love-t-shirt","/es/collections/all"
"es","gid://shopify/UrlRedirect/490954129660","/es/products/eyes-top-set","/es/collections/all"
"es","gid://shopify/UrlRedirect/490954260732","/es/products/california-top","/es/collections/all"
"es","gid://shopify/UrlRedirect/490955571452","/es/products/anya-bodysuit","/es/collections/all"
"es","gid://shopify/UrlRedirect/490955636988","/es/products/nick-t-shirt-set","/es/collections/all"
"es","gid://shopify/UrlRedirect/490955833596","/es/products/brave-t-shirt","/es/collections/all"
"es","gid://shopify/UrlRedirect/490955964668","/es/products/cindy-bodysuit","/es/collections/all"
"es","gid://shopify/UrlRedirect/490956292348","/es/products/helen-pants-set","/es/collections/all"
"es","gid://shopify/UrlRedirect/490956423420","/es/products/beaded-bracelet-b","/es/collections/all"
"es","gid://shopify/UrlRedirect/490956456188","/es/products/kaia-jeans-1","/es/collections/all"
"es","gid://shopify/UrlRedirect/490956554492","/es/products/dreamin-top-set","/es/collections/all"
"es","gid://shopify/UrlRedirect/490956882172","/es/products/rabbit-shirt","/es/collections/all"
"es","gid://shopify/UrlRedirect/490957046012","/es/products/broken-heart-shirt","/es/collections/all"
"es","gid://shopify/UrlRedirect/490957209852","/es/products/magnifique-tee","/es/collections/all"
"es","gid://shopify/UrlRedirect/490957242620","/es/products/nikita-dress","/es/collections/all"
"es","gid://shopify/UrlRedirect/490957373692","/es/products/chase-jeans","/es/collections/all"
"es","gid://shopify/UrlRedirect/490957439228","/es/products/kimber-denim-skirt","/es/collections/all"
"es","gid://shopify/UrlRedirect/490957504764","/es/products/mason-jeans","/es/collections/all"
"es","gid://shopify/UrlRedirect/490957668604","/es/products/eliza-dress","/es/collections/all"
"es","gid://shopify/UrlRedirect/490957832444","/es/products/maxine-shorts","/es/collections/all"
"es","gid://shopify/UrlRedirect/490957963516","/es/products/interested-shirt","/es/collections/all"
"es","gid://shopify/UrlRedirect/490958225660","/es/products/c-top","/es/collections/all"
"es","gid://shopify/UrlRedirect/490958782716","/es/products/kase-jeans","/es/collections/all"
"es","gid://shopify/UrlRedirect/490958815484","/es/products/cathy-dress","/es/collections/all"
"es","gid://shopify/UrlRedirect/490958881020","/es/products/jolene-pants-set","/es/collections/all"
"es","gid://shopify/UrlRedirect/490959864060","/es/products/elementi-cologne-fresh-citrus-woody-signature-scent-48","/es/collections/all"
"es","gid://shopify/UrlRedirect/490960224508","/es/products/bronze-link-statement-bracelet-streetwear-wrist-flex-23","/es/collections/all"
"es","gid://shopify/UrlRedirect/490960650492","/es/products/philip-puffer-coat","/es/collections/all"
"es","gid://shopify/UrlRedirect/490960683260","/es/products/star-pants","/es/collections/all"
"es","gid://shopify/UrlRedirect/490960879868","/es/products/2-pieces-ann-set","/es/collections/all"
"es","gid://shopify/UrlRedirect/490961043708","/es/products/asher-shirt-set-streetwear-vibe-1f","/es/collections/all"
"es","gid://shopify/UrlRedirect/490961535228","/es/products/natalie-top-set","/es/collections/all"
"es","gid://shopify/UrlRedirect/490961928444","/es/products/christopher-shirt","/es/collections/all"
"es","gid://shopify/UrlRedirect/490961993980","/es/products/andy-jeans","/es/collections/all"
"es","gid://shopify/UrlRedirect/490962157820","/es/products/sunglasses-b","/es/collections/all"
"es","gid://shopify/UrlRedirect/490962288892","/es/products/lucas-t-shirt","/es/collections/all"
"es","gid://shopify/UrlRedirect/490962354428","/es/products/dream-shorts-set","/es/collections/all"
"es","gid://shopify/UrlRedirect/490962452732","/es/products/leonardo-swimwear","/es/collections/all"
"es","gid://shopify/UrlRedirect/490962551036","/es/products/maxi-leopard-dress","/es/collections/all"
"es","gid://shopify/UrlRedirect/490962878716","/es/products/goldie-wide-belt","/es/collections/all"
"es","gid://shopify/UrlRedirect/490962911484","/es/products/nina-jacket-set","/es/collections/all"
"es","gid://shopify/UrlRedirect/490962944252","/es/products/brave-and-wild-top-set","/es/collections/all"
"es","gid://shopify/UrlRedirect/490963009788","/es/products/live-the-moment-pants","/es/collections/all"
"es","gid://shopify/UrlRedirect/490963075324","/es/products/eyes-pants-set","/es/collections/all"
"es","gid://shopify/UrlRedirect/490963239164","/es/products/element-t-shirt","/es/collections/all"
"es","gid://shopify/UrlRedirect/490963304700","/es/products/mara-short-legging","/es/collections/all"
"es","gid://shopify/UrlRedirect/490963632380","/es/products/fill-in-the-blank-t-shirt","/es/collections/all"
"es","gid://shopify/UrlRedirect/490966024444","/es/products/trust-yourself-hoodie","/es/collections/all"
"es","gid://shopify/UrlRedirect/490966778108","/es/products/aleena-knot-t-shirt","/es/collections/all"
